HE Provider,Academic Year,Region of HE provider,Category marker,Category,Value
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category E (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category F (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category G (m2),0
"Queen Margaret University, Edinburgh",2022/23,Scotland,EU Emissions Trading Scheme,Participation,
"Queen Margaret University, Edinburgh",2022/23,Scotland,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
"Queen Margaret University, Edinburgh",2022/23,Scotland,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
"Queen Margaret University, Edinburgh",2022/23,Scotland,EU Emissions Trading Scheme,Cost (£),
Queen Mary University of London,2022/23,London,Environmental reporting total,Environmental reporting total,Yes
Queen Mary University of London,2022/23,London,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),
Queen Mary University of London,2022/23,London,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
Queen Mary University of London,2022/23,London,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),61157
Queen Mary University of London,2022/23,London,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.1%
Queen Mary University of London,2022/23,London,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category A (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category B (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category C (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category D (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category E (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category F (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category G (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category A (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category B (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category C (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category D (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category E (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category F (m2),
Queen Mary University of London,2022/23,London,Gross Internal Area in DEC or EPC,Residential category G (m2),
Queen Mary University of London,2022/23,London,EU Emissions Trading Scheme,Participation,
Queen Mary University of London,2022/23,London,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
Queen Mary University of London,2022/23,London,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
Queen Mary University of London,2022/23,London,EU Emissions Trading Scheme,Cost (£),
The University of Reading,2022/23,South East,Environmental reporting total,Environmental reporting total,Yes
The University of Reading,2022/23,South East,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),100.0%
The University of Reading,2022/23,South East,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),6536265.279
The University of Reading,2022/23,South East,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),934662
The University of Reading,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
The University of Reading,2022/23,South East,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category A (m2),2485.33
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category B (m2),41605.26
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category C (m2),59998.98
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category D (m2),34286.14
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category E (m2),21278.5
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category F (m2),7973.67
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Non-residential category G (m2),10543.55
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category A (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category B (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category C (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category D (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category E (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category F (m2),0
The University of Reading,2022/23,South East,Gross Internal Area in DEC or EPC,Residential category G (m2),0
The University of Reading,2022/23,South East,EU Emissions Trading Scheme,Participation,
The University of Reading,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
The University of Reading,2022/23,South East,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
The University of Reading,2022/23,South East,EU Emissions Trading Scheme,Cost (£),
Robert Gordon University,2022/23,Scotland,Environmental reporting total,Environmental reporting total,No
Robert Gordon University,2022/23,Scotland,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),37.4%
Robert Gordon University,2022/23,Scotland,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
Robert Gordon University,2022/23,Scotland,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),895306.94
Robert Gordon University,2022/23,Scotland,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),100.0%
Robert Gordon University,2022/23,Scotland,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category A (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category B (m2),48610.9
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category C (m2),15208
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category D (m2),19916
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category E (m2),513
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category F (m2),2197
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Non-residential category G (m2),837
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category A (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category B (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category C (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category D (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category E (m2),0
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category F (m2),2580
Robert Gordon University,2022/23,Scotland,Gross Internal Area in DEC or EPC,Residential category G (m2),15620
Robert Gordon University,2022/23,Scotland,EU Emissions Trading Scheme,Participation,
Robert Gordon University,2022/23,Scotland,EU Emissions Trading Scheme,Carbon allowance bought or sold (tonnes CO2e),
Robert Gordon University,2022/23,Scotland,EU Emissions Trading Scheme,Carbon allowance (tonnes CO2e),
Robert Gordon University,2022/23,Scotland,EU Emissions Trading Scheme,Cost (£),
Rose Bruford College of Theatre and Performance,2022/23,London,Environmental reporting total,Environmental reporting total,No
Rose Bruford College of Theatre and Performance,2022/23,London,renewable energy purchased through green tariffs,Total percentage of renewable energy purchased through green tariffs (%),0.0%
Rose Bruford College of Theatre and Performance,2022/23,London,Total energy generated onsite by CHP,Total energy generated onsite by CHP (kWh),0
Rose Bruford College of Theatre and Performance,2022/23,London,Total renewable energy generated onsite or offsite,Total renewable energy generated onsite or offsite (kWh),1
Rose Bruford College of Theatre and Performance,2022/23,London,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are retained or not claimed (%),0.0%
Rose Bruford College of Theatre and Performance,2022/23,London,Use of renewable energy generated onsite or offsite (kWh),where the ROCs are sold (%),0.0%
Rose Bruford College of Theatre and Performance,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category A (m2),706
Rose Bruford College of Theatre and Performance,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category B (m2),4015
Rose Bruford College of Theatre and Performance,2022/23,London,Gross Internal Area in DEC or EPC,Non-residential category C (m2),1126
